id,value
venituri,
venituri.curente,
venituri.curente.fiscale,
venituri.curente.fiscale.impozitPJ,
venituri.curente.fiscale.impozitPJ.profit,0
venituri.curente.fiscale.impozitPF,
venituri.curente.fiscale.impozitPF.transfer,66000
venituri.curente.fiscale.impozitPF.CoteSiSumeDefalcateDinImpozitulPeVenit,3345410
venituri.curente.fiscale.alte,0
venituri.curente.fiscale.proprietate,0
venituri.curente.fiscale.impozite,
venituri.curente.fiscale.impozite.sume,20108
venituri.curente.fiscale.impozite.alte,0
venituri.curente.fiscale.impozite.taxeServicii,0
venituri.curente.fiscale.impozite.taxeBunuri,20600
venituri.curente.fiscale.alteImpozite,10000
venituri.curente.nefiscale,168041
venituri.capital,5015
venituri.financiare,0
venituri.subventii,
venituri.subventii.stat,65315
venituri.subventii.administratii,0
venituri.ue,220509
